,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,1 2 -1,3 4 -1,5 2 +3,3 3 +0,1 3 -2
Melser KRÜ,0 1 -1,3 5 -2,2 6 -4,0 3 -3,2 0 +2
keznit KRÜ,8 6 +2,2 3 -1,3 5 -2,2 0 +2,1 2 -1
Mazino KRÜ,0 1 -1,1 4 -3,1 3 -2,3 1 +2,3 4 -1
Dantedeu5 KRÜ,1 2 -1,0 0,0 4 -4,2 4 -2,1 5 -4
