,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,10 6 +4,9 11 -2,9 5 +4,10 9 +1,10 8 +2
Melser KRÜ,6 4 +2,8 8 +0,8 13 -5,3 6 -3,7 6 +1
keznit KRÜ,14 12 +2,8 11 -3,14 6 +8,9 8 +1,9 8 +1
Mazino KRÜ,6 4 +2,4 11 -7,5 9 -4,7 8 -1,7 8 -1
Dantedeu5 KRÜ,4 8 -4,3 7 -4,5 8 -3,7 12 -5,6 10 -4
