,s0m NRG,skuba NRG,Ethan NRG,brawk NRG,mada NRG
Shyy KRÜ,4 4 +0,5 1 +4,1 1 +0,6 2 +4,7 3 +4
Melser KRÜ,2 0 +2,1 2 -1,5 1 +4,1 0 +1,1 3 -2
keznit KRÜ,1 2 -1,4 4 +0,4 1 +3,2 4 -2,5 3 +2
Mazino KRÜ,5 1 +4,2 4 -2,3 2 +1,3 2 +1,2 1 +1
Dantedeu5 KRÜ,3 1 +2,2 2 +0,2 4 -2,4 2 +2,1 3 -2
