,Governor TLN,ban TLN,primmie TLN,Crws TLN,JitBoyS TLN
aspas LEV,3 1 +2,,1 0 +1,2 0 +2,0 2 -2
kiNgg LEV,1 1 +0,,1 0 +1,,1 1 +0
C0M LEV,0 2 -2,,0 1 -1,1 0 +1,0 1 -1
Mazino LEV,,,,,
tex LEV,0 1 -1,,0 1 -1,1 0 +1,0 2 -2
