,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
C0M LEV,,4 Round 6 ban Governor Round 7 Governor JitBoyS Round 8 ban Crws Round 21 JitBoyS Governor,,,,,,,,,87,1,1
tex LEV,,3 Round 6 primmie Crws Round 10 Governor JitBoyS Round 19 Governor JitBoyS,2 Round 9 JitBoyS Crws primmie Round 13 ban Crws primmie,,,,,,,,58,1,0
Mazino LEV,,4 Round 1 JitBoyS Governor Round 7 JitBoyS primmie Round 11 ban primmie Round 20 Crws JitBoyS,,,,,,,,,47,0,2
aspas LEV,,3 Round 12 JitBoyS ban Round 19 primmie Crws Round 20 primmie Governor,,,,,,,,,63,0,0
kiNgg LEV,,2 Round 10 primmie Crws Round 13 Governor JitBoyS,2 Round 2 Crws JitBoyS Governor Round 18 JitBoyS Crws Governor,,,,,,,,57,3,1
Crws TLN,,2 Round 16 Mazino kiNgg Round 17 Mazino aspas,,,,,,,,,36,4,0
Governor TLN,,1 Round 15 C0M kiNgg,,,,,,,,,36,0,0
ban TLN,,2 Round 14 kiNgg aspas Round 17 tex C0M,,,,,,,,,30,0,0
JitBoyS TLN,,4 Round 3 tex C0M Round 4 kiNgg Mazino Round 5 C0M tex Round 20 tex C0M,,,,,,,,,41,2,1
primmie TLN,,5 Round 3 Mazino kiNgg Round 4 aspas C0M Round 14 tex C0M Round 15 Mazino tex Round 16 C0M aspas,2 Round 1 C0M aspas Mazino Round 8 tex Mazino C0M,,,,,,,,58,1,1
