,qRaxs FUT,yetujey FUT,xeus FUT,MrFaliN FUT,AtaKaptan FUT
paTiTek TL,,1 0 +1,,,
kamo TL,,,5 0 +5,1 0 +1,1 1 +0
nAts TL,,1 0 +1,,,
keiko TL,,,0 1 -1,1 0 +1,
Serial TL,,,0 1 -1,,1 0 +1
