,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,1 Round 4 MrFaliN xeus,,,,,,,,,46,1,2
nAts TL,,3 Round 8 AtaKaptan MrFaliN Round 11 yetujey qRaxs Round 14 MrFaliN yetujey,1 Round 10 MrFaliN yetujey qRaxs,,,,,,,,64,0,0
keiko TL,,,1 Round 1 qRaxs AtaKaptan yetujey,,,1 Round 11 MrFaliN,,,,,61,1,2
kamo TL,,3 Round 2 xeus AtaKaptan Round 4 AtaKaptan qRaxs Round 11 xeus AtaKaptan,3 Round 3 MrFaliN xeus qRaxs Round 7 AtaKaptan qRaxs xeus Round 9 qRaxs MrFaliN AtaKaptan,1 Round 13 xeus AtaKaptan qRaxs MrFaliN,,,,,,,123,0,0
Serial TL,,2 Round 2 qRaxs MrFaliN Round 12 yetujey AtaKaptan,,,,1 Round 12 AtaKaptan,,,,,41,0,2
qRaxs FUT,,,,,,,,,,,46,1,0
AtaKaptan FUT,,3 Round 1 kamo nAts Round 5 kamo nAts Round 12 kamo nAts,,,,,,,,,41,1,0
MrFaliN FUT,,2 Round 10 keiko paTiTek Round 11 kamo nAts,,,,,,,,,46,5,0
yetujey FUT,,,,,,,,,,,8,0,0
xeus FUT,,2 Round 4 keiko Serial Round 5 keiko paTiTek,,,,,,,,,43,0,0
