,BuZz T1,iZu T1,Meteor T1,stax T1,Sylvan T1
Jinggg PRX,3 1 +2,2 1 +1,1 0 +1,2 0 +2,
f0rsakeN PRX,1 2 -1,,0 1 -1,,1 0 +1
mindfreak PRX,,,,,
d4v41 PRX,,1 0 +1,,,
something PRX,,,2 2 +0,1 1 +0,1 1 +0
