,BuZz T1,iZu T1,Meteor T1,stax T1,Sylvan T1
Jinggg PRX,1 1 +0,1 0 +1,0 1 -1,,2 0 +2
f0rsakeN PRX,,,1 1 +0,,2 0 +2
mindfreak PRX,,,,0 1 -1,
d4v41 PRX,1 0 +1,0 2 -2,0 1 -1,1 0 +1,0 1 -1
something PRX,0 2 -2,1 0 +1,,,0 1 -1
