,BuZz T1,iZu T1,Meteor T1,stax T1,Sylvan T1
Jinggg PRX,2 6 -4,2 4 -2,4 2 +2,2 2 +0,4 3 +1
f0rsakeN PRX,2 4 -2,3 3 +0,1 3 -2,1 1 +0,2 3 -1
mindfreak PRX,3 4 -1,1 4 -3,4 3 +1,3 1 +2,1 2 -1
d4v41 PRX,1 2 -1,3 2 +1,3 2 +1,3 5 -2,0 4 -4
something PRX,3 7 -4,2 0 +2,0 4 -4,1 2 -1,3 2 +1
