,BuZz T1,iZu T1,Meteor T1,stax T1,Sylvan T1
Jinggg PRX,0 2 -2,0 2 -2,0 2 -2,1 1 +0,1 0 +1
f0rsakeN PRX,,0 1 -1,,,
mindfreak PRX,0 1 -1,,1 1 +0,,
d4v41 PRX,0 1 -1,1 0 +1,1 0 +1,,0 1 -1
something PRX,,,,0 1 -1,1 0 +1
