,NaturE EG,supamen EG,icy EG,yay EG,Derrek EG
v1c C9,,,,2 2 +0,0 1 -1
mitch C9,,1 0 +1,,1 1 +0,
OXY C9,1 0 +1,0 2 -2,0 2 -2,1 1 +0,0 1 -1
neT C9,,1 0 +1,,1 1 +0,0 2 -2
Xeppaa C9,,1 0 +1,,1 0 +1,
