,NaturE EG,supamen EG,icy EG,yay EG,Derrek EG
v1c C9,5 2 +3,2 0 +2,5 3 +2,3 5 -2,3 5 -2
mitch C9,3 4 -1,5 3 +2,1 2 -1,4 2 +2,2 2 +0
OXY C9,5 0 +5,3 5 -2,3 3 +0,2 4 -2,4 2 +2
neT C9,2 2 +0,5 4 +1,3 2 +1,4 2 +2,3 5 -2
Xeppaa C9,2 2 +0,2 3 -1,4 2 +2,2 5 -3,3 5 -2
