,NaturE EG,supamen EG,icy EG,yay EG,Derrek EG
v1c C9,7 4 +3,6 1 +5,9 5 +4,5 9 -4,9 7 +2
mitch C9,6 5 +1,8 9 -1,2 4 -2,8 4 +4,7 3 +4
OXY C9,11 2 +9,6 9 -3,12 4 +8,5 8 -3,5 6 -1
neT C9,6 2 +4,9 5 +4,6 8 -2,8 3 +5,3 7 -4
Xeppaa C9,5 6 -1,6 3 +3,4 4 +0,7 10 -3,6 6 +0
