,NaturE EG,supamen EG,icy EG,yay EG,Derrek EG
v1c C9,2 2 +0,4 1 +3,4 2 +2,2 4 -2,6 2 +4
mitch C9,3 1 +2,3 6 -3,1 2 -1,4 2 +2,5 1 +4
OXY C9,6 2 +4,3 4 -1,9 1 +8,3 4 -1,1 4 -3
neT C9,4 0 +4,4 1 +3,3 6 -3,4 1 +3,0 2 -2
Xeppaa C9,3 4 -1,4 0 +4,0 2 -2,5 5 +0,3 1 +2
