,NaturE EG,supamen EG,icy EG,yay EG,Derrek EG
v1c C9,,,,,
mitch C9,1 0 +1,1 2 -1,1 0 +1,,
OXY C9,,0 2 -2,4 0 +4,,
neT C9,2 0 +2,,1 1 +0,,
Xeppaa C9,0 1 -1,1 0 +1,0 1 -1,1 1 +0,
