,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
mitch C9,,4 Round 3 supamen Derrek Round 6 yay Derrek Round 17 yay Derrek Round 18 Derrek yay,,,,,,,,,65,8,0
neT C9,,2 Round 6 NaturE supamen Round 13 icy yay,,1 Round 8 NaturE icy yay supamen,,,,,,,70,1,1
Xeppaa C9,,1 Round 1 supamen NaturE,,1 Round 7 Derrek supamen yay NaturE,,,1 Round 7 yay NaturE,,,,64,1,1
v1c C9,,4 Round 3 icy yay Round 4 icy Derrek Round 11 Derrek icy Round 20 NaturE Derrek,1 Round 10 Derrek supamen NaturE,,,,,,,,69,0,0
OXY C9,,7 Round 4 supamen NaturE Round 5 yay icy Round 11 yay supamen Round 12 icy NaturE Round 16 icy yay Round 18 icy NaturE Round 19 NaturE Derrek,,,,,,,,,88,1,0
supamen EG,,3 Round 5 mitch OXY Round 8 OXY v1c Round 17 mitch neT,,,,,,,,,54,1,1
yay EG,,3 Round 6 OXY v1c Round 12 Xeppaa OXY Round 14 OXY Xeppaa,2 Round 3 OXY Xeppaa mitch Round 16 v1c neT Xeppaa,,,,,,,,50,1,0
Derrek EG,,2 Round 9 neT OXY Round 14 neT v1c,,,,,,,,,50,1,1
NaturE EG,,1 Round 5 Xeppaa v1c,,,,,,,,,33,2,0
icy EG,,2 Round 2 neT OXY Round 12 neT v1c,2 Round 1 mitch v1c neT Round 15 Xeppaa neT mitch,,,1 Round 15 mitch,,,,,39,0,1
