,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,7 2 +5,,2 2 +0,0 1 -1,5 4 +1
valyn G2,7 3 +4,1 2 -1,1 1 +0,1 1 +0,0 3 -3
leaf G2,4 2 +2,2 6 -4,2 2 +0,0 1 -1,5 4 +1
JonahP G2,4 6 -2,0 1 -1,2 1 +1,0 1 -1,1 2 -1
jawgemo G2,3 6 -3,1 3 -2,4 4 +0,2 2 +0,2 5 -3
