,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,5 5 +0,2 2 +0,2 2 +0,5 4 +1,5 5 +0
valyn G2,8 4 +4,6 2 +4,3 6 -3,4 4 +0,4 4 +0
leaf G2,2 5 -3,2 6 -4,2 2 +0,3 3 +0,5 7 -2
JonahP G2,1 8 -7,4 3 +1,6 3 +3,6 3 +3,4 4 +0
jawgemo G2,8 4 +4,7 3 +4,7 2 +5,2 8 -6,5 5 +0
