,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,3 3 +0,4 1 +3,4 4 +0,2 1 +1,4 2 +2
valyn G2,2 4 -2,1 1 +0,3 1 +2,2 0 +2,2 5 -3
leaf G2,3 2 +1,7 2 +5,3 1 +2,4 3 +1,4 2 +2
JonahP G2,2 1 +1,1 1 +0,0 6 -6,4 1 +3,2 1 +1
jawgemo G2,4 3 +1,2 3 -1,3 2 +1,3 3 +0,4 1 +3
