,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,8 4 +4,3 4 -1,1 3 -2,1 3 -2,7 2 +5
valyn G2,2 2 +0,5 1 +4,4 3 +1,4 6 -2,2 2 +0
leaf G2,5 1 +4,4 3 +1,2 6 -4,2 3 -1,2 3 -1
JonahP G2,0 5 -5,3 2 +1,4 0 +4,3 5 -2,3 3 +0
jawgemo G2,5 4 +1,2 5 -3,4 3 +1,4 1 +3,4 2 +2
