,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,4 2 +2,,,,1 2 -1
valyn G2,1 0 +1,,0 1 -1,,0 1 -1
leaf G2,1 2 -1,0 1 -1,1 0 +1,,3 3 +0
JonahP G2,,,1 0 +1,,1 0 +1
jawgemo G2,1 0 +1,0 1 -1,1 0 +1,0 1 -1,1 0 +1
