,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,3 2 +1,1 2 -1,5 2 +3,1 5 -4,6 9 -3
valyn G2,5 1 +4,4 5 -1,5 4 +1,5 7 -2,7 3 +4
leaf G2,5 2 +3,4 6 -2,1 6 -5,2 3 -1,5 5 +0
JonahP G2,7 3 +4,3 8 -5,2 5 -3,2 1 +1,2 5 -3
jawgemo G2,3 2 +1,5 4 +1,8 3 +5,7 4 +3,3 8 -5
