,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,3 1 +2,2 3 -1,5 4 +1,5 4 +1,5 2 +3
valyn G2,2 6 -4,6 0 +6,3 2 +1,3 2 +1,2 6 -4
leaf G2,2 3 -1,3 9 -6,1 0 +1,3 1 +2,3 2 +1
JonahP G2,5 6 -1,,4 5 -1,3 4 -1,3 3 +0
jawgemo G2,2 3 -1,2 6 -4,4 3 +1,3 3 +0,2 3 -1
