,BuZz T1,Sylvan T1,iZu T1,stax T1,Meteor T1
trent G2,2 0 +2,,1 1 +0,,1 2 -1
valyn G2,2 0 +2,,1 0 +1,0 1 -1,
leaf G2,1 0 +1,1 0 +1,0 1 -1,,
JonahP G2,1 1 +0,0 1 -1,1 0 +1,,
jawgemo G2,0 2 -2,,2 3 -1,,0 3 -3
