,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,,,,0 2 -2,
primmie TLN,,,0 2 -2,,
thyy TLN,1 0 +1,1 0 +1,0 1 -1,,
JitBoyS TLN,,,,1 0 +1,
Killua TLN,,,0 1 -1,,
