,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,14 13 +1,10 16 -6,12 13 -1,10 11 -1,10 13 -3
primmie TLN,17 15 +2,22 10 +12,18 21 -3,10 10 +0,14 18 -4
thyy TLN,15 10 +5,22 13 +9,15 21 -6,12 14 -2,14 21 -7
JitBoyS TLN,15 12 +3,13 10 +3,17 18 -1,22 16 +6,13 14 -1
Killua TLN,14 19 -5,13 13 +0,13 18 -5,13 7 +6,18 17 +1
