,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,,0 1 -1,,1 0 +1,1 0 +1
primmie TLN,1 0 +1,0 1 -1,1 1 +0,1 0 +1,
thyy TLN,1 0 +1,0 1 -1,0 1 -1,1 0 +1,
JitBoyS TLN,2 0 +2,0 1 -1,,,
Killua TLN,0 1 -1,,,1 0 +1,
