,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,4 2 +2,2 6 -4,4 6 -2,2 2 +0,3 2 +1
primmie TLN,1 3 -2,1 3 -2,3 5 -2,2 2 +0,2 6 -4
thyy TLN,2 1 +1,4 5 -1,3 6 -3,3 5 -2,4 4 +0
JitBoyS TLN,2 4 -2,6 3 +3,5 7 -2,4 6 -2,5 0 +5
Killua TLN,10 3 +7,3 6 -3,4 7 -3,4 1 +3,4 3 +1
