,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,0 1 -1,,1 1 +0,,0 1 -1
primmie TLN,,,,,3 0 +3
thyy TLN,2 0 +2,,0 3 -3,1 0 +1,0 1 -1
JitBoyS TLN,0 3 -3,,,,1 1 +0
Killua TLN,,,,,
