,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,1 0 +1,0 1 -1,1 0 +1,,
primmie TLN,0 1 -1,0 1 -1,1 1 +0,0 1 -1,0 1 -1
thyy TLN,,1 1 +0,,1 0 +1,1 1 +0
JitBoyS TLN,1 1 +0,1 1 +0,1 0 +1,1 0 +1,
Killua TLN,1 0 +1,1 0 +1,1 1 +0,,1 1 +0
