,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,2 2 +0,,,0 1 -1,0 1 -1
primmie TLN,0 1 -1,,0 1 -1,,
thyy TLN,1 0 +1,0 1 -1,2 0 +2,1 0 +1,2 1 +1
JitBoyS TLN,1 0 +1,0 1 -1,0 2 -2,1 0 +1,
Killua TLN,1 1 +0,,,,
