,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,0 5 -5,1 1 +0,3 4 -1,2 1 +1,0 4 -4
primmie TLN,4 3 +1,4 1 +3,1 5 -4,1 3 -2,5 4 +1
thyy TLN,4 3 +1,4 1 +3,3 7 -4,1 2 -1,4 4 +0
JitBoyS TLN,0 6 -6,1 3 -2,0 2 -2,5 2 +3,2 2 +0
Killua TLN,1 4 -3,3 3 +0,1 3 -2,1 1 +0,2 3 -1
