,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,6 4 +2,2 2 +0,2 0 +2,0 6 -6,1 5 -4
primmie TLN,4 2 +2,6 4 +2,4 5 -1,0 2 -2,2 4 -2
thyy TLN,1 4 -3,5 2 +3,3 4 -1,3 1 +2,4 9 -5
JitBoyS TLN,3 0 +3,1 2 -1,3 3 +0,8 3 +5,1 5 -4
Killua TLN,2 7 -5,2 2 +0,5 3 +2,1 1 +0,5 2 +3
