,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,,,0 2 -2,0 2 -2,
primmie TLN,3 0 +3,1 0 +1,2 3 -1,1 0 +1,
thyy TLN,1 0 +1,1 0 +1,0 4 -4,,
JitBoyS TLN,,,0 2 -2,1 0 +1,
Killua TLN,,,0 6 -6,,
