,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,2 2 +0,3 4 -1,2 2 +0,4 0 +4,3 1 +2
primmie TLN,6 5 +1,6 0 +6,5 4 +1,4 2 +2,1 2 -1
thyy TLN,3 2 +1,4 4 +0,3 2 +1,3 5 -2,1 1 +0
JitBoyS TLN,4 0 +4,3 1 +2,4 4 +0,2 3 -1,2 5 -3
Killua TLN,1 1 +0,3 2 +1,1 4 -3,3 2 +1,5 5 +0
