,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,2 0 +2,2 3 -1,1 1 +0,2 2 +0,3 1 +2
primmie TLN,2 2 +0,5 2 +3,5 2 +3,3 1 +2,4 2 +2
thyy TLN,5 0 +5,5 1 +4,3 2 +1,2 1 +1,1 3 -2
JitBoyS TLN,6 2 +4,2 1 +1,5 2 +3,3 2 +1,3 2 +1
Killua TLN,0 4 -4,2 0 +2,2 1 +1,4 2 +2,2 4 -2
