,Monyet RRQ,Kushy RRQ,Jemkin RRQ,crazyguy RRQ,xffero RRQ
Crws TLN,3 3 +0,0 3 -3,2 1 +1,1 1 +0,2 2 +0
primmie TLN,4 5 -1,2 2 +0,3 3 +0,1 2 -1,4 1 +3
thyy TLN,5 0 +5,1 3 -2,3 4 -1,5 0 +5,3 3 +0
JitBoyS TLN,5 4 +1,1 3 -2,2 3 -1,2 0 +2,1 1 +0
Killua TLN,2 2 +0,1 0 +1,1 2 -1,1 0 +1,1 1 +0
