,paTiTek TL,nAts TL,kamo TL,kamyk TL,keiko TL
qRaxs FUT,8 4 +4,5 12 -7,6 9 -3,5 11 -6,4 9 -5
MrFaliN FUT,6 9 -3,6 8 -2,11 6 +5,3 11 -8,5 11 -6
xeus FUT,8 6 +2,13 7 +6,10 12 -2,11 9 +2,5 15 -10
yetujey FUT,14 8 +6,8 8 +0,14 11 +3,11 9 +2,12 10 +2
AtaKaptan FUT,5 10 -5,6 14 -8,5 7 -2,6 7 -1,10 7 +3
