,paTiTek TL,nAts TL,kamo TL,kamyk TL,keiko TL
qRaxs FUT,,,1 1 +0,,
MrFaliN FUT,0 1 -1,1 0 +1,1 2 -1,,
xeus FUT,1 0 +1,1 0 +1,0 2 -2,1 1 +0,
yetujey FUT,1 1 +0,2 1 +1,,1 1 +0,0 1 -1
AtaKaptan FUT,0 1 -1,,0 1 -1,0 1 -1,
