,paTiTek TL,nAts TL,kamo TL,kamyk TL,keiko TL
qRaxs FUT,,,,,
MrFaliN FUT,,0 1 -1,,,
xeus FUT,,0 1 -1,0 1 -1,,
yetujey FUT,,,,,
AtaKaptan FUT,,0 2 -2,,,
