,paTiTek TL,nAts TL,kamo TL,kamyk TL,keiko TL
qRaxs FUT,,,,,
MrFaliN FUT,,,,0 1 -1,0 1 -1
xeus FUT,,1 2 -1,0 4 -4,0 1 -1,0 3 -3
yetujey FUT,1 0 +1,,1 0 +1,,
AtaKaptan FUT,,,,0 1 -1,1 0 +1
