,paTiTek TL,nAts TL,kamo TL,kamyk TL,keiko TL
qRaxs FUT,,,1 2 -1,0 1 -1,
MrFaliN FUT,0 1 -1,1 0 +1,2 2 +0,0 2 -2,1 1 +0
xeus FUT,1 0 +1,2 2 +0,0 6 -6,2 3 -1,0 4 -4
yetujey FUT,3 2 +1,2 1 +1,3 2 +1,1 1 +0,1 1 +0
AtaKaptan FUT,0 2 -2,1 1 +0,0 3 -3,0 2 -2,1 0 +1
