,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA
Jinggg PRX,,0 2 -2,,1 0 +1,0 2 -2
d4v41 PRX,,1 0 +1,2 0 +2,0 1 -1,
something PRX,,2 0 +2,1 0 +1,1 2 -1,0 1 -1
mindfreak PRX,1 0 +1,,,1 0 +1,1 0 +1
f0rsakeN PRX,,,,2 0 +2,
