,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA
Jinggg PRX,3 1 +2,3 6 -3,3 0 +3,2 2 +0,6 3 +3
d4v41 PRX,2 2 +0,5 3 +2,4 1 +3,6 2 +4,3 2 +1
something PRX,4 3 +1,5 4 +1,3 1 +2,3 4 -1,3 2 +1
mindfreak PRX,2 2 +0,2 4 -2,2 3 -1,1 1 +0,6 3 +3
f0rsakeN PRX,7 3 +4,2 4 -2,5 2 +3,7 2 +5,2 2 +0
