,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA
Jinggg PRX,3 4 -1,3 1 +2,5 0 +5,3 1 +2,2 3 -1
d4v41 PRX,4 1 +3,2 3 -1,2 1 +1,2 3 -1,4 1 +3
something PRX,3 2 +1,7 1 +6,2 1 +1,4 4 +0,5 4 +1
mindfreak PRX,2 0 +2,1 2 -1,2 2 +0,4 3 +1,1 2 -1
f0rsakeN PRX,4 3 +1,1 3 -2,4 1 +3,2 4 -2,2 0 +2
