,SugarZ3ro ZETA,Dep ZETA,CLZ ZETA,SyouTa ZETA,Xdll ZETA
Jinggg PRX,0 1 -1,1 2 -1,,1 1 +0,0 2 -2
d4v41 PRX,1 0 +1,1 0 +1,2 0 +2,0 1 -1,
something PRX,,5 0 +5,1 0 +1,3 3 +0,0 2 -2
mindfreak PRX,1 0 +1,,,1 0 +1,1 0 +1
f0rsakeN PRX,1 1 +0,1 2 -1,1 0 +1,3 0 +3,
