,keiko TL,kamo TL,paTiTek TL,kamyk TL,nAts TL
jawgemo G2,0 1 -1,1 0 +1,0 1 -1,0 1 -1,0 2 -2
valyn G2,,,,,
leaf G2,0 1 -1,0 2 -2,0 1 -1,1 0 +1,
trent G2,0 1 -1,1 1 +0,1 0 +1,,0 1 -1
JonahP G2,1 0 +1,1 0 +1,,,
