,nAts TL,kamyk TL,kamo TL,paTiTek TL,keiko TL
tomaszy GX,,0 1 -1,0 1 -1,2 0 +2,1 1 +0
Cloud GX,,0 1 -1,2 1 +1,1 0 +1,
westside GX,2 1 +1,,0 1 -1,,0 1 -1
purp0 GX,3 0 +3,2 0 +2,2 4 -2,,3 2 +1
runneR GX,0 1 -1,0 2 -2,1 2 -1,0 1 -1,1 0 +1
