,nAts TL,kamyk TL,kamo TL,paTiTek TL,keiko TL
tomaszy GX,,,,2 0 +2,
Cloud GX,,,2 1 +1,1 0 +1,
westside GX,0 1 -1,,0 1 -1,,0 1 -1
purp0 GX,2 0 +2,,1 4 -3,,2 1 +1
runneR GX,,0 1 -1,,0 1 -1,
