,Derrek EG,NaturE EG,supamen EG,jawgemo EG,Apoth EG
saadhak LOUD,,0 2 -2,4 1 +3,2 7 -5,2 3 -1
cauanzin LOUD,0 1 -1,1 0 +1,2 1 +1,1 5 -4,1 0 +1
Less LOUD,0 1 -1,0 1 -1,3 0 +3,0 2 -2,1 1 +0
tuyz LOUD,,2 3 -1,2 0 +2,0 1 -1,0 1 -1
pANcada LOUD,0 1 -1,1 0 +1,1 1 +0,0 6 -6,2 0 +2
