,Derrek EG,NaturE EG,supamen EG,jawgemo EG,Apoth EG
saadhak LOUD,,,1 0 +1,1 3 -2,0 2 -2
cauanzin LOUD,,1 0 +1,,0 1 -1,
Less LOUD,0 1 -1,,1 0 +1,,
tuyz LOUD,,1 1 +0,1 0 +1,0 1 -1,
pANcada LOUD,,,,0 3 -3,1 0 +1
