,Derrek EG,NaturE EG,supamen EG,jawgemo EG,Apoth EG
saadhak LOUD,,,1 0 +1,1 3 -2,1 1 +0
cauanzin LOUD,0 1 -1,,,0 3 -3,
Less LOUD,,,1 0 +1,0 1 -1,1 0 +1
tuyz LOUD,,0 1 -1,,,0 1 -1
pANcada LOUD,,1 0 +1,0 1 -1,0 1 -1,1 0 +1
