,Derrek EG,NaturE EG,supamen EG,jawgemo EG,Apoth EG
saadhak LOUD,,0 2 -2,2 1 +1,0 1 -1,1 0 +1
cauanzin LOUD,,,2 1 +1,1 1 +0,1 0 +1
Less LOUD,,0 1 -1,1 0 +1,0 1 -1,0 1 -1
tuyz LOUD,,1 1 +0,1 0 +1,,
pANcada LOUD,0 1 -1,,1 0 +1,0 2 -2,
