,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,0 1 -1,0 1 -1,,,1 0 +1
NoMan XLG,1 1 +0,1 1 +0,0 1 -1,,0 1 -1
Rarga XLG,1 1 +0,2 1 +1,,1 1 +0,0 1 -1
coconut XLG,,1 0 +1,,,
Viva XLG,0 1 -1,2 1 +1,,0 1 -1,
