,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,,,,,
NoMan XLG,,,1 0 +1,,1 0 +1
Rarga XLG,1 0 +1,,,,
coconut XLG,,0 1 -1,,,
Viva XLG,0 0,,,,
