,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,2 0 +2,,,0 1 -1,2 0 +2
NoMan XLG,0 2 -2,,,,
Rarga XLG,0 1 -1,0 2 -2,1 0 +1,1 1 +0,
coconut XLG,2 0 +2,,,2 0 +2,
Viva XLG,1 1 +0,0 2 -2,,3 0 +3,
