,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
NoMan XLG,,2 Round 12 bang johnqt Round 18 zekken bang,,,,,,,,,42,0,0
coconut XLG,,3 Round 14 bang Zellsis Round 15 zekken N4RRATE Round 19 johnqt Zellsis,1 Round 21 johnqt N4RRATE bang,,,,,,,,46,0,1
Rarga XLG,,2 Round 7 Zellsis N4RRATE Round 11 zekken bang,,,,,,,,,39,0,0
Viva XLG,,2 Round 8 zekken johnqt Round 12 zekken Zellsis,2 Round 3 zekken Zellsis bang Round 5 zekken johnqt Zellsis,,,,,,,,54,8,2
happywei XLG,,3 Round 1 zekken Zellsis Round 16 zekken Zellsis Round 19 zekken bang,,,,,,,,,49,1,0
Zellsis SEN,,3 Round 8 happywei Rarga Round 20 happywei NoMan Round 22 NoMan coconut,1 Round 1 Rarga NoMan Viva,,,,,,,,47,4,1
johnqt SEN,,1 Round 14 Rarga coconut,1 Round 18 Rarga happywei NoMan,,,,,,,,48,4,2
bang SEN,,3 Round 1 happywei coconut bang Round 10 happywei coconut Round 12 happywei Viva,1 Round 17 NoMan coconut happywei,,,,1 Round 1 coconut happywei,,,,48,1,0
zekken SEN,,2 Round 7 NoMan Rarga Round 17 Rarga Viva,2 Round 4 Rarga coconut Viva Round 23 happywei coconut Rarga,,,,,,,,59,0,0
N4RRATE SEN,,4 Round 7 Viva happywei Round 13 Rarga coconut Round 18 Viva coconut Round 20 Viva coconut,1 Round 6 Viva coconut happywei,,,,,,,,52,1,1
