,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,17 6 +11,16 7 +9,5 8 -3,11 9 +2,14 11 +3
NoMan XLG,10 13 -3,12 7 +5,7 7 +0,8 5 +3,11 7 +4
Rarga XLG,5 8 -3,14 14 +0,10 7 +3,14 8 +6,8 7 +1
coconut XLG,12 7 +5,4 11 -7,5 6 -1,9 10 -1,7 7 +0
Viva XLG,4 6 -2,7 9 -2,12 11 +1,9 9 +0,5 6 -1
