,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,,0 1 -1,,,
NoMan XLG,1 0 +1,,2 0 +2,,2 0 +2
Rarga XLG,1 0 +1,0 2 -2,,,
coconut XLG,,0 1 -1,,,
Viva XLG,,,1 0 +1,,
