,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,3 1 +2,2 1 +1,1 0 +1,0 1 -1,3 0 +3
NoMan XLG,3 3 +0,1 1 +0,0 1 -1,,1 1 +0
Rarga XLG,1 3 -2,6 3 +3,1 0 +1,2 2 +0,1 2 -1
coconut XLG,3 2 +1,2 2 +0,,2 0 +2,
Viva XLG,1 2 -1,2 3 -1,,4 1 +3,
