,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,,,,,
NoMan XLG,1 0 +1,,1 0 +1,,1 0 +1
Rarga XLG,,0 2 -2,,,
coconut XLG,,,,,
Viva XLG,,,1 0 +1,,
