,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,6 0 +6,6 2 +4,3 4 -1,5 3 +2,4 2 +2
NoMan XLG,6 4 +2,5 1 +4,3 3 +0,4 0 +4,5 3 +2
Rarga XLG,2 2 +0,4 5 -1,4 1 +3,6 3 +3,3 3 +0
coconut XLG,2 3 -1,2 3 -1,1 1 +0,1 2 -1,2 1 +1
Viva XLG,0 0,2 0 +2,2 6 -4,3 1 +2,3 3 +0
