,Zellsis SEN,zekken SEN,johnqt SEN,N4RRATE SEN,bang SEN
happywei XLG,1 0 +1,2 0 +2,1 0 +1,,
NoMan XLG,2 0 +2,,,,1 0 +1
Rarga XLG,0 1 -1,4 0 +4,,,1 1 +0
coconut XLG,1 2 -1,1 2 -1,,,
Viva XLG,0 0,,,1 0 +1,
